id,상품명,브랜드,품번,성별,이미지_URL,현재_가격,평균_키,평균_몸무게,구매사이트,부위,스타일
1,[리뉴얼] 하프 터틀넥 니트 세트,수아레,20fw1-03-0,남,https://image.msscdn.net/thumbnails/images/goods_img/20200821/1558847/1558847_17303488335987_big.jpg?w=1200,29900,174,67,https://www.musinsa.com/products/1558847,상의,미니멀
2,알파카 라운드 니트 (3color),어널러코드,DB7631,남,https://image.msscdn.net/thumbnails/images/goods_img/20230907/3537527/3537527_16975043078778_big.jpg?w=1200,25280,179,69,https://www.musinsa.com/products/3537527,상의,미니멀
3,미니멀 크루 넥 니트 [네이비],무신사 스탠다드,MMJWP603-NA,남,https://image.msscdn.net/thumbnails/images/goods_img/20200928/1628941/1628941_1_big.jpg?w=1200,62890,170,71,https://www.musinsa.com/products/1628941,상의,미니멀
4,UFC 하이 킥 릴렉스핏 맨투맨 카키 U2SWV3102KH,유에프씨 스포츠,U2SWV3102KH,남,https://image.msscdn.net/thumbnails/images/goods_img/20240903/4397956/4397956_17276765394187_big.jpg?w=1200,99000,0,0,https://www.musinsa.com/products/4397956,상의,스트릿
5,KITTY TAG HOODIE - OATMEAL,브라운브레스,BJWMHD011OA,공용,https://image.msscdn.net/thumbnails/images/goods_img/20241008/4496913/4496913_17289739743061_big.jpg?w=1200,98100,166,66,https://www.musinsa.com/products/4496913,상의,스트릿
6,미니멀 크루 넥 니트 [버건디],무신사 스탠다드,MMJWP603-BD,남,https://image.msscdn.net/thumbnails/images/goods_img/20220809/2705300/2705300_1_big.jpg?w=1200,62890,177,75,https://www.musinsa.com/products/2705300,상의,미니멀
7,드래곤 스켈레톤 후드 - 올리브 / STAR20013OLV,에리즈 얼라이즈,STAR20013OLVSS23,공용,https://image.msscdn.net/thumbnails/images/goods_img/20230406/3213640/3213640_16873076115931_big.jpg?w=1200,93130,178,77,https://www.musinsa.com/products/3213640,상의,스트릿
8,미니멀 모크 넥 니트 [머쉬룸],무신사 스탠다드,MMJWP604-MM,남,https://image.msscdn.net/thumbnails/images/goods_img/20210831/2100421/2100421_1_big.jpg?w=1200,62890,174,71,https://www.musinsa.com/products/2100421,상의,미니멀
9,[사은품 증정]자이언트 에스닉 오버니트 (블루),테이크이지,T24NT061-BL,남,https://image.msscdn.net/thumbnails/images/goods_img/20241028/4564331/4564331_17328458439362_big.jpg?w=1200,48300,171,76,https://www.musinsa.com/products/4564331,상의,스트릿
10,Bustier Layered Long Sleeve (FL-152_Black),플레어업,FL-152_Black,여,https://image.msscdn.net/thumbnails/images/goods_img/20241018/4535336/4535336_17294484556868_big.jpg?w=1200,47610,163,54,https://www.musinsa.com/products/4535336,상의,스트릿
11,CASHMERE WOOL CREWNECK KNIT [RED],유니온블루,UNION-KN01RD,남,https://image.msscdn.net/thumbnails/images/goods_img/20240213/3864420/3864420_17083174431401_big.jpg?w=1200,124200,175,75,https://www.musinsa.com/products/3864420,상의,미니멀
12,[패션플래닛X더니트컴퍼니] 워셔블 코튼 크루넥 니트 12color,더니트컴퍼니,TMKT012430,남,https://image.msscdn.net/thumbnails/images/goods_img/20240830/4388024/4388024_17258834972522_big.jpg?w=1200,39900,176,73,https://www.musinsa.com/products/4388024,상의,미니멀
13,램스울 리브드 브이 넥 니트 [머쉬룸],무신사 스탠다드,MMJWP613-MM,남,https://image.msscdn.net/thumbnails/images/goods_img/20210831/2100426/2100426_1_big.jpg?w=1200,49890,175,71,https://www.musinsa.com/products/2100426,상의,미니멀
14,미니멀 모크 넥 니트 [블랙],무신사 스탠다드,MMJWP604-BK,남,https://image.msscdn.net/thumbnails/images/goods_img/20200928/1629142/1629142_16957081029262_big.jpg?w=1200,62890,174,67,https://www.musinsa.com/products/1629142,상의,미니멀
15,미니멀 크루 넥 니트 [아보카도],무신사 스탠다드,MMJWP603-AV,남,https://image.msscdn.net/thumbnails/images/goods_img/20200928/1628940/1628940_1_big.jpg?w=1200,48990,176,67,https://www.musinsa.com/products/1628940,상의,미니멀
16,FANTASIA KNIT SWEATER IVORY(MG2DFMK623A),마하그리드,MG2DFMK623AIV,공용,https://image.msscdn.net/thumbnails/images/goods_img/20230810/3457590/3457590_16941560914905_big.jpg?w=1200,47400,176,67,https://www.musinsa.com/products/3457590,상의,스트릿
17,소프트 이중직 반폴라 니트 [블랙],바우로 프로덕트,P0000JOB3,남,https://image.msscdn.net/thumbnails/images/goods_img/20241107/4597373/4597373_17309696643579_big.jpg?w=1200,39900,176,74,https://www.musinsa.com/products/4597373,상의,미니멀
18,[무료반품][보라끌레르 PICK](우먼)캐시미어 100 홀가먼트 니트 - 11 COLOR,수아레,SBDAWLKN011,여,https://image.msscdn.net/thumbnails/images/goods_img/20240829/4385991/4385991_17333648209296_big.jpg?w=1200,89900,161,52,https://www.musinsa.com/products/4385991,상의,미니멀
19,[with 김무열]캐시미어 100 홀가먼트 니트 - 8 COLOR,수아레,SBDAWLKN040,남,https://image.msscdn.net/thumbnails/images/goods_img/20240716/4252738/4252738_17292129827867_big.jpg?w=1200,99900,176,70,https://www.musinsa.com/products/4252738,상의,미니멀
20,화란 세미오버 니트 미드 그레이,엘무드,LN001MD,공용,https://image.msscdn.net/thumbnails/images/goods_img/20190902/1139096/1139096_17255215007225_big.jpg?w=1200,71900,171,64,https://www.musinsa.com/products/1139096,상의,미니멀
21,소프트 필링 세미오버 라운드 니트 블랙,미니멀코드,21FATP011,남,https://image.msscdn.net/thumbnails/images/goods_img/20210917/2139704/2139704_17204066997560_big.jpg?w=1200,33000,173,68,https://www.musinsa.com/products/2139704,상의,미니멀
22,PAISLEY TAG HOODIE - WHITE,브라운브레스,BJWMHD001WT,남,https://image.msscdn.net/thumbnails/images/goods_img/20240910/4427994/4427994_17260351790863_big.jpg?w=1200,89100,172,62,https://www.musinsa.com/products/4427994,상의,스트릿
23,[with 김무열]데일리 라운드 니트 - 12 COLOR,수아레,SBBAWLKN061,공용,https://image.msscdn.net/thumbnails/images/goods_img/20220818/2723767/2723767_17292130151891_big.jpg?w=1200,29900,173,68,https://www.musinsa.com/products/2723767,상의,미니멀
24,LEAF TAG HOODIE - BROWN,브라운브레스,BJFMHD001BR,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240731/4286457/4286457_17231910958989_big.jpg?w=1200,89100,168,62,https://www.musinsa.com/products/4286457,상의,스트릿
25,올웨이즈 하프 폴라 니트 블랙/아이보리,애습,awkn036,남,https://image.msscdn.net/thumbnails/images/goods_img/20230904/3525729/3525729_17247393370397_big.jpg?w=1200,38900,175,68,https://www.musinsa.com/products/3525729,상의,미니멀
26,Eyelet Tie Long Sleeve [Black],로제프란츠,5007680956,여,https://image.msscdn.net/thumbnails/images/goods_img/20240813/4327536/4327536_17235409618323_big.jpg?w=1200,42900,165,52,https://www.musinsa.com/products/4327536,상의,스트릿
27,에센셜 컴피 롱 슬리브 버튼 폴로 니트 크림,암피스트,ESSCLSBFWCR,남,https://image.msscdn.net/thumbnails/images/goods_img/20240919/4443309/4443309_17277795267106_big.jpg?w=1200,58650,0,0,https://www.musinsa.com/products/4443309,상의,미니멀
28,OG PIGMENT DYEING HOODY 002 _ CHARCOAL,프리즘웍스,FZWOGTS050,남,https://image.msscdn.net/thumbnails/images/goods_img/20210324/1861935/1861935_16771339991877_big.jpg?w=1200,84550,176,75,https://www.musinsa.com/products/1861935,상의,스트릿
29,하찌 엘보 볼륨 풀오버_와인,인템포무드,5000113316,공용,https://image.msscdn.net/thumbnails/images/goods_img/20220818/2726744/2726744_17187775254270_big.jpg?w=1200,58800,175,71,https://www.musinsa.com/products/2726744,상의,미니멀
30,TAG OG HOODIE - BURGUNDY,브라운브레스,BJWMHDS10BD,공용,https://image.msscdn.net/thumbnails/images/goods_img/20220817/2722805/2722805_17049552545368_big.jpg?w=1200,80100,168,56,https://www.musinsa.com/products/2722805,상의,스트릿
31,반폴라 세미 오버핏 모크넥 니트 [블랙],워크온바디오프,BWBB3NT032,남,https://image.msscdn.net/thumbnails/images/goods_img/20241011/4509977/4509977_17289702809308_big.jpg?w=1200,19800,175,73,https://www.musinsa.com/products/4509977,상의,미니멀
32,드로잉 그래픽 스웨트 셔츠_오트베이지,1993스튜디오,93243TMT101005,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240718/4259035/4259035_17246338003330_big.jpg?w=1200,80100,173,64,https://www.musinsa.com/products/4259035,상의,스트릿
